id,slug,site,enricher_carrier_type,photo_count,about,verified
29,powerproelectricianservices,,,2,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""American Sign Language""}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",0
30,brightelectricalservices,,,2,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""American Sign Language""}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",0
31,adeptelectricco,,,1,{},0
32,dobbselectricco,,,1,{},0
33,darnellelectricalsolutions,,,6,{},0
34,donpoeelectric,,,,{},0
35,robinsonelectricalcontractorsllc,,,21,"{""Service options"": {""Online estimates"": false, ""Onsite services"": false}, ""Planning"": {""Appointment required"": true}}",0
36,centralelectricalpros,,,1,{},0
37,eternitysolutionsllc,http://www.eternitysolutionsllc.net/,Mobile,102,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Planning"": {""Appointment required"": true}}",0
38,cwelectriccompanyllc,http://candwelectricco.com/,,3,"{""Service options"": {""Onsite services"": true, ""Online estimates"": false}, ""Planning"": {""Appointment required"": true}}",0
39,elevatedelectricllc,,,8,"{""Service options"": {""Online estimates"": false}}",0
40,eliteelectricco,,,5,{},0
41,connoisseurelectricllc,,,1,{},0
42,johnselectricinc,http://www.johnselectricservice.com/,,1,{},0
43,gantelectric,,,3,{},0
44,poweruplightingelectricalllc,https://poweruplightingandelectricalllc.com/,Mobile,7,{},0
45,emergencyelectricco,https://www.ieccal.org/,,1,{},0
46,advancedelectricalcompany,https://www.advancedelectricalcompany.com/,Landline,30,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Service options"": {""Onsite services"": true}, ""Other"": {""Identifies as veteran-owned"": true}}",0
47,johnselectric,http://www.johnselectricservice.com/,,22,{},0
